deploy_date,retrieval_date,download_group,receiver_name,receiver_serial,colour,depth,import_order,serial_number,lat,long
7/20/2018,7/3/2019,1,15,132373, green,10,1,358702,45.85731392,-74.78032054
7/3/2019,6/29/2020,2,15,132373, green,10,2,358702,45.85731392,-74.78032054
6/29/2020,7/22/2021,3,15,132373, green,10,3,358702,45.85729425,-74.77798111
7/20/2018,7/2/2019,1,3,109388,yellow,4,4,358703,45.8070772,-74.75702117
7/2/2019,6/30/2020,2,3,109388,yellow,4,5,358703,45.8070772,-74.75702117
6/30/2020,7/22/2021,3,3,109388,yellow,4,6,358703,45.80702215,-74.75699955
7/20/2018,7/3/2019,1,15,132373,red,6,7,358704,45.85731392,-74.78032054
7/3/2019,6/29/2020,2,15,132373,red,6,8,358704,45.85731392,-74.78032054
6/29/2020,7/22/2021,3,15,132373,red,6,9,358704,45.85729425,-74.77798111
7/20/2018,7/3/2019,1,15,132373,blue,18,10,358705,45.85731392,-74.78032054
7/3/2019,6/29/2020,2,15,132373,blue,18,11,358705,45.85731392,-74.78032054
6/29/2020,7/22/2021,3,15,132373,blue,18,12,358705,45.85729425,-74.77798111
7/20/2018,7/2/2019,1,5,132365, green,10,13,358709,45.81647951,-74.78032054
7/2/2019,6/30/2020,2,5,132365, green,10,14,358709,45.81647951,-74.78032054
6/30/2020,7/22/2021,3,5,132365, green,10,15,358709,45.8164786,-74.78028196
7/20/2018,7/2/2019,1,5,132365,blue,20,16,358710,45.81647951,-74.78032054
7/2/2019,6/30/2020,2,5,132365,blue,20,17,358710,45.81647951,-74.78032054
6/30/2020,7/22/2021,3,5,132365,blue,20,18,358710,45.8164786,-74.78028196
7/20/2018,7/3/2019,1,15,132373,yellow,4,19,358716,45.85731392,-74.78032054
7/3/2019,6/29/2020,2,15,132373,yellow,4,20,358716,45.85731392,-74.78032054
6/29/2020,7/22/2021,3,15,132373,yellow,4,21,358716,45.85729425,-74.77798111
7/20/2018,7/3/2019,1,15,132373,white,2,22,358717,45.85731392,-74.78032054
7/3/2019,6/29/2020,2,15,132373,white,2,23,358717,45.85731392,-74.78032054
6/29/2020,7/22/2021,3,15,132373,white,2,24,358717,45.85729425,-74.77798111
7/20/2018,7/2/2019,1,3,109388,white,2,25,358718,45.8070772,-74.75702117
7/2/2019,6/30/2020,2,3,109388,white,2,26,358718,45.8070772,-74.75702117
6/30/2020,7/22/2021,3,3,109388,white,2,27,358718,45.80702215,-74.75699955
7/20/2018,7/2/2019,1,3,109388,red,6,28,358719,45.8070772,-74.75702117
7/2/2019,6/30/2020,2,3,109388,red,6,29,358719,45.8070772,-74.75702117
6/30/2020,7/22/2021,3,3,109388,red,6,30,358719,45.80702215,-74.75699955
7/20/2018,7/2/2019,1,5,132365,yellow,4,31,358721,45.81647951,-74.78032054
7/2/2019,6/30/2020,2,5,132365,yellow,4,32,358721,45.81647951,-74.78032054
6/30/2020,7/22/2021,3,5,132365,yellow,4,33,358721,45.8164786,-74.78028196
7/20/2018,7/2/2019,1,3,109388,blue,20,34,358722,45.8070772,-74.75702117
7/2/2019,6/30/2020,2,3,109388,blue,20,35,358722,45.8070772,-74.75702117
6/30/2020,7/22/2021,3,3,109388,blue,20,36,358722,45.80702215,-74.75699955
7/20/2018,7/2/2019,1,5,132365,white,2,37,358723,45.81647951,-74.78032054
7/20/2018,6/30/2020,2,5,132365,white,2,38,358723,45.81647951,-74.78032054
6/30/2020,7/22/2021,3,5,132365,white,2,39,358723,45.8164786,-74.78028196
7/20/2018,7/2/2019,1,3,109388, green,10,40,358724,45.8070772,-74.75702117
7/2/2019,6/30/2020,2,3,109388, green,10,41,358724,45.8070772,-74.75702117
6/30/2020,7/22/2021,3,3,109388, green,10,42,358724,45.80702215,-74.75699955
7/20/2018,7/2/2019,1,5,132365,red,6,43,358725,45.81647951,-74.78032054
7/2/2019,6/30/2020,2,5,132365,red,6,44,358725,45.81647951,-74.78032054
6/30/2020,7/22/2021,3,5,132365,red,6,45,358725,45.8164786,-74.78028196
