date,time,loc,basin,lat,long,depth_m,do_mg_l,temp_c
23-May-22,10:30,15,North,45.85750,-74.77746,0,10.35,17.54
23-May-22,10:30,15,North,45.85750,-74.77746,2,10.41,17.23
23-May-22,10:30,15,North,45.85750,-74.77746,4,13.96,11.85
23-May-22,10:30,15,North,45.85750,-74.77746,6,12.36,7.27
23-May-22,10:30,15,North,45.85750,-74.77746,8,11.80,6.06
23-May-22,10:30,15,North,45.85750,-74.77746,10,11.45,5.72
23-May-22,10:30,15,North,45.85750,-74.77746,12,11.10,5.46
23-May-22,10:30,15,North,45.85750,-74.77746,14,10.65,5.21
23-May-22,10:30,15,North,45.85750,-74.77746,16,10.48,5.02
23-May-22,11:00,3,East,45.80717,-74.75878,0,12.35,15.70
23-May-22,11:00,3,East,45.80717,-74.75878,2,11.90,15.35
23-May-22,11:00,3,East,45.80717,-74.75878,4,12.00,15.00
23-May-22,11:00,3,East,45.80717,-74.75878,6,14.00,11.32
23-May-22,11:00,3,East,45.80717,-74.75878,8,14.90,7.05
23-May-22,11:00,3,East,45.80717,-74.75878,10,14.00,5.91
23-May-22,11:00,3,East,45.80717,-74.75878,12,13.87,5.68
23-May-22,11:00,3,East,45.80717,-74.75878,14,13.23,5.35
23-May-22,11:00,3,East,45.80717,-74.75878,16,13.15,5.24
23-May-22,11:00,3,East,45.80717,-74.75878,18,13.08,5.07
23-May-22,11:00,3,East,45.80717,-74.75878,20,12.93,4.96
23-May-22,11:00,3,East,45.80717,-74.75878,25,13.46,5.73
23-May-22,11:00,3,East,45.80717,-74.75878,30,12.55,6.50
23-May-22,11:00,3,East,45.80717,-74.75878,35,11.95,4.77
23-May-22,11:00,3,East,45.80717,-74.75878,40,11.85,5.45
23-May-22,11:00,3,East,45.80717,-74.75878,45,11.86,4.61
23-May-22,12:07,5,West,45.81628,-74.78147,0,11.05,17.00
23-May-22,12:07,5,West,45.81628,-74.78147,2,11.31,15.87
23-May-22,12:07,5,West,45.81628,-74.78147,4,14.04,11.89
23-May-22,12:07,5,West,45.81628,-74.78147,6,15.64,7.61
23-May-22,12:07,5,West,45.81628,-74.78147,8,15.12,6.45
23-May-22,12:07,5,West,45.81628,-74.78147,10,13.25,5.87
23-May-22,12:07,5,West,45.81628,-74.78147,12,12.56,5.52
23-May-22,12:07,5,West,45.81628,-74.78147,14,12.31,5.38
23-May-22,12:07,5,West,45.81628,-74.78147,15,12.06,5.30
23-May-22,12:07,5,West,45.81628,-74.78147,18,11.95,5.17
23-May-22,12:07,5,West,45.81628,-74.78147,20,11.88,5.10
28-Jun-22,9:42,15,North,45.85785,-74.77621,0,8.54,22.78
28-Jun-22,9:42,15,North,45.85785,-74.77621,2,8.54,22.52
28-Jun-22,9:42,15,North,45.85785,-74.77621,4,10.22,18.30
28-Jun-22,9:42,15,North,45.85785,-74.77621,6,14.05,10.18
28-Jun-22,9:42,15,North,45.85785,-74.77621,8,12.06,7.15
28-Jun-22,9:42,15,North,45.85785,-74.77621,10,10.62,6.12
28-Jun-22,9:42,15,North,45.85785,-74.77621,12,10.31,5.81
28-Jun-22,9:42,15,North,45.85785,-74.77621,14,9.80,5.47
28-Jun-22,9:42,15,North,45.85785,-74.77621,16,8.78,5.17
28-Jun-22,9:42,15,North,45.85785,-74.77621,18,7.91,5.02
28-Jun-22,9:42,15,North,45.85785,-74.77621,20,2.70,6.30
28-Jun-22,10:39,3,East,45.80717,-74.75877,0,8.71,21.99
28-Jun-22,10:39,3,East,45.80717,-74.75877,2,8.88,21.41
28-Jun-22,10:39,3,East,45.80717,-74.75877,4,9.56,19.68
28-Jun-22,10:39,3,East,45.80717,-74.75877,6,10.32,16.48
28-Jun-22,10:39,3,East,45.80717,-74.75877,8,12.06,11.60
28-Jun-22,10:39,3,East,45.80717,-74.75877,10,12.55,8.21
28-Jun-22,10:39,3,East,45.80717,-74.75877,12,12.01,6.66
28-Jun-22,10:39,3,East,45.80717,-74.75877,14,11.92,5.73
28-Jun-22,10:39,3,East,45.80717,-74.75877,16,11.70,5.51
28-Jun-22,10:39,3,East,45.80717,-74.75877,18,11.74,5.38
28-Jun-22,10:39,3,East,45.80717,-74.75877,20,11.96,6.22
28-Jun-22,10:39,3,East,45.80717,-74.75877,25,12.72,5.95
28-Jun-22,10:39,3,East,45.80717,-74.75877,30,12.33,6.33
28-Jun-22,10:39,3,East,45.80717,-74.75877,35,12.45,5.51
28-Jun-22,10:39,3,East,45.80717,-74.75877,40,12.61,5.22
28-Jun-22,10:39,3,East,45.80717,-74.75877,45,11.97,5.50
28-Jun-22,10:39,3,East,45.80717,-74.75877,50,12.12,5.88
28-Jun-22,12:16,5,West,45.81580,-74.78429,0,9.00,22.51
28-Jun-22,12:16,5,West,45.81580,-74.78429,2,8.86,21.88
28-Jun-22,12:16,5,West,45.81580,-74.78429,4,10.36,18.30
28-Jun-22,12:16,5,West,45.81580,-74.78429,6,14.16,11.70
28-Jun-22,12:16,5,West,45.81580,-74.78429,8,15.04,7.85
28-Jun-22,12:16,5,West,45.81580,-74.78429,10,13.22,6.76
28-Jun-22,12:16,5,West,45.81580,-74.78429,12,11.81,6.10
